Microinjection	O
of	O
ritanserin	B-ChemicalEntity
into	O
the	O
CA1	O
region	O
of	O
hippocampus	O
improves	O
scopolamine	B-ChemicalEntity
-	O
induced	O
amnesia	B-DiseaseOrPhenotypicFeature
in	O
adult	O
male	O
rats	B-OrganismTaxon
.	O

The	O
effect	O
of	O
ritanserin	B-ChemicalEntity
(	O
5	B-GeneOrGeneProduct
-	O
HT2	I-GeneOrGeneProduct
antagonist	O
)	O
on	O
scopolamine	B-ChemicalEntity
(	O
muscarinic	B-GeneOrGeneProduct
cholinergic	I-GeneOrGeneProduct
antagonist	O
)	O
-	O
induced	O
amnesia	B-DiseaseOrPhenotypicFeature
in	O
Morris	O
water	O
maze	O
(	O
MWM	O
)	O
was	O
investigated	O
.	O

Rats	B-OrganismTaxon
were	O
divided	O
into	O
eight	O
groups	O
and	O
bilaterally	O
cannulated	O
into	O
CA1	O
region	O
of	O
the	O
hippocampus	O
.	O

One	O
week	O
later	O
,	O
they	O
received	O
repeatedly	O
vehicles	O
(	O
saline	O
,	O
DMSO	B-ChemicalEntity
,	O
saline	O
+	O
DMSO	B-ChemicalEntity
)	O
,	O
scopolamine	B-ChemicalEntity
(	O
2	O
microg	O
/	O
0	O
.	O
5	O
microl	O
saline	O
/	O
side	O
;	O
30	O
min	O
before	O
training	O
)	O
,	O
ritanserin	B-ChemicalEntity
(	O
2	O
,	O
4	O
and	O
8	O
microg	O
/	O
0	O
.	O
5	O
microl	O
DMSO	B-ChemicalEntity
/	O
side	O
;	O
20	O
min	O
before	O
training	O
)	O
and	O
scopolamine	B-ChemicalEntity
(	O
2	O
microg	O
/	O
0	O
.	O
5	O
microl	O
;	O
30	O
min	O
before	O
ritanserin	B-ChemicalEntity
injection	O
)	O
+	O
ritanserin	B-ChemicalEntity
(	O
4	O
microg	O
/	O
0	O
.	O
5	O
microl	O
DMSO	B-ChemicalEntity
)	O
through	O
cannulae	O
each	O
day	O
.	O

Animals	O
were	O
tested	O
for	O
four	O
consecutive	O
days	O
(	O
4	O
trial	O
/	O
day	O
)	O
in	O
MWM	O
during	O
which	O
the	O
position	O
of	O
hidden	O
platform	O
was	O
unchanged	O
.	O

In	O
the	O
fifth	O
day	O
,	O
the	O
platform	O
was	O
elevated	O
above	O
the	O
water	O
surface	O
in	O
another	O
position	O
to	O
evaluate	O
the	O
function	O
of	O
motor	O
,	O
motivational	O
and	O
visual	O
systems	O
.	O

The	O
results	O
showed	O
a	O
significant	O
increase	O
in	O
escape	O
latencies	O
and	O
traveled	O
distances	O
to	O
find	O
platform	O
in	O
scopolamine	B-ChemicalEntity
-	O
treated	O
group	O
as	O
compared	O
to	O
saline	O
group	O
.	O

Ritanserin	B-ChemicalEntity
-	O
treated	O
rats	B-OrganismTaxon
(	O
4	O
microg	O
/	O
0	O
.	O
5	O
microl	O
/	O
side	O
)	O
showed	O
a	O
significant	O
decrease	O
in	O
the	O
mentioned	O
parameters	O
as	O
compared	O
to	O
DMSO	B-ChemicalEntity
-	O
treated	O
group	O
.	O

However	O
,	O
scopolamine	B-ChemicalEntity
and	O
ritanserin	B-ChemicalEntity
co	O
-	O
administration	O
resulted	O
in	O
a	O
significant	O
decrease	O
in	O
escape	O
latencies	O
and	O
traveled	O
distances	O
as	O
compared	O
to	O
the	O
scopolamine	B-ChemicalEntity
-	O
treated	O
rats	B-OrganismTaxon
.	O

Our	O
findings	O
show	O
that	O
microinjection	O
of	O
ritanserin	B-ChemicalEntity
into	O
the	O
CA1	O
region	O
of	O
the	O
hippocampus	O
improves	O
the	O
scopolamine	B-ChemicalEntity
-	O
induced	O
amnesia	B-DiseaseOrPhenotypicFeature
.	O
P2RX7	B-GeneOrGeneProduct
:	O
A	O
bipolar	B-DiseaseOrPhenotypicFeature
and	I-DiseaseOrPhenotypicFeature
unipolar	I-DiseaseOrPhenotypicFeature
disorder	I-DiseaseOrPhenotypicFeature
candidate	O
susceptibility	O
gene?	O
The	O
chromosomal	O
region	O
12q24	O
has	O
been	O
previously	O
implicated	O
by	O
linkage	O
studies	O
of	O
both	O
bipolar	B-DiseaseOrPhenotypicFeature
disorder	I-DiseaseOrPhenotypicFeature
and	O
unipolar	B-DiseaseOrPhenotypicFeature
mood	I-DiseaseOrPhenotypicFeature
disorder	I-DiseaseOrPhenotypicFeature
and	O
we	O
have	O
reported	O
two	O
pedigrees	O
segregating	O
both	O
bipolar	B-DiseaseOrPhenotypicFeature
disorder	I-DiseaseOrPhenotypicFeature
and	O
Darier	B-DiseaseOrPhenotypicFeature
'	O
s	I-DiseaseOrPhenotypicFeature
disease	I-DiseaseOrPhenotypicFeature
that	O
show	O
linkage	O
across	O
this	O
region	O
.	O

The	O
gene	O
P2RX7	B-GeneOrGeneProduct
is	O
located	O
in	O
this	O
chromosomal	O
region	O
and	O
has	O
been	O
recently	O
reported	O
as	O
a	O
susceptibility	O
gene	O
for	O
bipolar	B-DiseaseOrPhenotypicFeature
disorder	I-DiseaseOrPhenotypicFeature
and	O
unipolar	B-DiseaseOrPhenotypicFeature
depression	I-DiseaseOrPhenotypicFeature
.	O

The	O
non	O
-	O
synonymous	O
SNP	O
rs2230912	B-SequenceVariant
(	O
resulting	O
in	O
amino	O
-	O
acid	O
