id	abstract_id	type	entity_1_id	entity_2_id	novel
0	1353340	Association	410	D007966	No
1	1353340	Positive_Correlation	rs74315458	D007966	Novel
2	1671881	Positive_Correlation	D010661	rs62514952	Novel
3	1671881	Positive_Correlation	D010661	rs62514953	Novel
4	1671881	Association	5053	D010661	No
5	1671881	Negative_Correlation	5053	OMIM:261600	No
6	1671881	Positive_Correlation	rs62514952	OMIM:261600	Novel
7	1671881	Positive_Correlation	rs62514953	OMIM:261600	Novel
8	1848636	Negative_Correlation	153	D008790	No
9	1848636	Positive_Correlation	D013726	D007008	No
10	1848636	Association	D008790	D013034	No
11	1848636	Association	D008790	D003647	No
12	1848636	Positive_Correlation	D008790	D013726	Novel
13	1848636	Negative_Correlation	D008790	D007008	No
14	1848636	Negative_Correlation	D008790	154	Novel
15	2422478	Positive_Correlation	D008750	D007022	Novel
16	2422478	Association	D012701	D015116	Novel
17	2422478	Positive_Correlation	D012701	D008750	Novel
18	2422478	Positive_Correlation	D012701	D007022	Novel
19	2491010	Association	1756	D020388	Novel
20	7468724	Negative_Correlation	D007752	D000305	Novel
21	7468724	Association	D013726	D000305	Novel
22	7468724	Negative_Correlation	D013726	D007752	No
23	7468724	Positive_Correlation	D002318	D000305	Novel
24	7468724	Association	D002318	D013726	Novel
25	7668252	Negative_Correlation	C536353	D005227	Novel
26	7668252	Positive_Correlation	C536353	c|DEL|1078-1182|	Novel
27	7668252	Negative_Correlation	C536353	37	No
28	7668252	Association	D019308	C536353	Novel
29	7668252	Positive_Correlation	37	D019308	Novel
30	7905839	Association	D001523	4988	Novel
31	7905839	Association	D000242	25601	No
32	7905839	Association	D006160	25601	No
33	7905839	Association	25601	D018847	Novel
34	7905839	Association	25601	D053610	Novel
35	7905839	Association	D012964	25601	No
36	8755918	Association	472	D002524	Novel
37	8755918	Association	D001260	472	Novel
38	8755918	Association	c|INS||137	D002524	Novel
39	8755918	Positive_Correlation	c|INS||137	D001260	Novel
40	8829135	Positive_Correlation	D012601	D007859	No
41	8829135	Bind	D013134	1813	No
42	8829135	Bind	D013134	1812	No
43	8829135	Bind	C534628	1813	No
44	8829135	Bind	C534628	1812	No
45	8829135	Positive_Correlation	D018491	D000647	Novel
46	8829135	Positive_Correlation	D000647	D001058	No
47	8829135	Negative_Correlation	C058876	D012601	Novel
48	8829135	Negative_Correlation	C058876	D007859	Novel
49	8829135	Negative_Correlation	C058876	D018491	Novel
50	8829135	Negative_Correlation	C058876	D001058	Novel
51	8829135	Negative_Correlation	C058876	D000647	Novel
52	9294109	Association	D009223	13400	No
53	9294109	Negative_Correlation	D002118	13400	Novel
54	9647766	Association	1457	C537475	No
55	9647766	Bind	4722	4726	No
56	9647766	Association	4722	1457	Novel
57	9647766	Association	4722	C537475	Novel
58	9647766	Association	5578	C537475	No
59	9647766	Bind	4720	4726	No
60	9647766	Bind	4720	4722	No
61	9647766	Association	4720	C537475	Novel
62	9647766	Association	4720	5578	Novel
63	9672936	Association	D008614	D012640	Novel
64	9672936	Negative_Correlation	D008614	D010149	No
65	9746003	Cotreatment	D000077213	D005013	Novel
66	9746003	Cotreatment	D014635	D005013	Novel
67	9746003	Cotreatment	D014635	D000077213	Novel
68	9746003	Negative_Correlation	D004832	D005013	Novel
69	9746003	Negative_Correlation	D004832	D000077213	Novel
70	9746003	Negative_Correlation	D004832	D014635	Novel
71	9746003	Positive_Correlation	D004832	D020888	No
72	9746003	Positive_Correlation	D004832	D002220	No
73	9746003	Comparison	D002220	D020888	No
74	9746003	Positive_Correlation	D009207	D002220	No
75	10491763	Association	3175	D003924	No
76	10491763	Positive_Correlation	D005947	3630	No
77	10491763	Association	D005947	D003924	No
78	10661407	Bind	50489	D008358	Novel
79	10788334	Positive_Correlation	D001943	c|INS|5382|C	Novel
80	10788334	Positive_Correlation	D001943	c|DEL|4153|A	Novel
81	10788334	Positive_Correlation	D001943	rs28897672	Novel
82	10788334	Positive_Correlation	D010051	c|INS|5382|C	Novel
83	10788334	Positive_Correlation	D010051	c|DEL|4153|A	Novel
84	10788334	Positive_Correlation	D010051	rs28897672	Novel
85	10788334	Positive_Correlation	c|INS|5382|C	D061325	Novel
86	10788334	Positive_Correlation	c|DEL|4153|A	D061325	Novel
87	10788334	Positive_Correlation	rs28897672	D061325	Novel
88	10788334	Positive_Correlation	OMIM:604370	c|INS|5382|C	Novel
89	10788334	Positive_Correlation	OMIM:604370	c|DEL|4153|A	Novel
90	10788334	Positive_Correlation	OMIM:604370	rs28897672	Novel
91	10788334	Association	672	D001943	No
92	10788334	Association	672	D010051	No
93	10788334	Association	672	OMIM:604370	Novel
94	10788334	Association	672	D061325	No
95	11009181	Positive_Correlation	D007980	D004409	No
96	11009181	Negative_Correlation	D001058	D007980	Novel
97	11009181	Negative_Correlation	D001058	D004409	Novel
98	11009181	Negative_Correlation	D001058	D010300	Novel
99	11054569	Association	D014594	84084	Novel
100	11054569	Positive_Correlation	84084	D014750	Novel
101	11054569	Positive_Correlation	84084	D014747	Novel
102	11054569	Positive_Correlation	84084	D017239	Novel
103	11054569	Positive_Correlation	84084	D004317	Novel
104	11773892	Negative_Correlation	5530	D016559	No
105	11773892	Negative_Correlation	5530	D016572	No
106	11773892	Positive_Correlation	D006530	D003404	Novel
107	11773892	Positive_Correlation	D016559	D007674	No
108	11773892	Positive_Correlation	D007676	D003404	Novel
109	11773892	Positive_Correlation	D016572	D007674	No
